S.N,Date,Time,Center (arcsec),Skewness,+ve_polarity,-ve_polarity,Imbalance
t1,2015/07/04,06:44:10,"(-691,-58)",0.24,61,38,24
t2,2015/07/04,11:44:10,"(-654,-54)",0.3,65,34,30
t3,2015/07/04,18:44:10,"(-605,-41)",0.35,68,31,37
t4,2015/07/04,23:44:10,"(-569,-32)",0.37,70,29,42
t5,2015/07/05,06:44:10,"(-513,-31)",0.38,71,28,43
t6,2015/07/05,11:44:10,"(-473,-30)",0.38,72,27,44
t7,2015/07/05,18:44:10,"(-409,-33)",0.37,70,30,40
t8,2015/07/05,23:44:10,"(-362,-38)",0.37,71,28,42
t9,2015/07/06,06:44:10,"(-300,-40)",0.36,70,29,40
t10,2015/07/06,11:44:10,"(-253,-42)",0.35,69,30,39
t11,2015/07/06,18:44:10,"(-183,-43)",0.34,69,30,40
t12,2025/07/06,23:44:10,"(-133,-43)",0.36,69,30,39
t13,2015/07/07,06:44:10,"(-69,-39)",0.36,70,29,41
t14,2015/07/07,11:44:10,"(-17,-51)",0.37,71,28,44
t15,2015/07/07,18:44:10,"(53,-47)",0.37,71,28,43
t16,2015/7/7,23:44:10,"(104,-45)",0.38,72,27,44
t17,2015/07/08,06:44:10,"(174,-46)",0.38,72,27,44
t18,2015/07/08,11:44:10,"(226,-45)",0.36,70,29,41
t19,2015/07/08,18:44:10,"(302,-54)",0.36,69,30,39
t20,2015/07/08,23:44:10,"(339,-55)",0.33,68,31,36
t21,2015/07/09,06:44:10,"(404,-70)",0.33,68,31,37
t22,2015/07/09,11:44:10,"(445,-69)",0.34,68,31,37
t23,2015/07/09,18:44:10,"(504,-61)",0.26,64,35,29
t24,2015/07/09,23:44:10,"(545,-60)",0.26,64,35,29
